filename,size_mb,domain,confidence,is_book,title,authors_str,year,priority_score,duplicate_group,flags_str,sha256,pages
Lennart Edsberg-Introduction to Computation and Modeling for Differential Equations-Wiley (2015).pdf,2.1,mathematics,medium,True,Introduction to Computation and Modeling for Differential Equations,Lennart Edsberg,2015,35,,,20b352e9937464a2f31a9474765b837c7452cc06c8952961a87a700f9d7d829c,286
Luciano Ramalho - Fluent Python_ Clear Concise and Effective Programming-OReilly Media 2015.pdf,16.9,unclassified,unclassified,True,Fluent Python,,2015,35,,,138eac79a2cf53d452f90afc7ae16ad546e5a192f56c956a5c3b03225d4f1b0e,766
MIT6_253S12_lec_comp.pdf,7.7,unclassified,unclassified,True,MIT6_253S12_lec_comp,Bertsekas; Dimitri,,35,,,41afb47e0f6ce328298d386d16c15defa1d98c88802175a22ba80b619bd18181,340
Mark Newman - Networks-Oxford University Press 2018.pdf,24.7,unclassified,unclassified,True,Mark Newman - Networks-Oxford University Press 2018,Newman; Mark,2018,35,hash_dup_289,possible_duplicate,47ca3a1cefe43888ed5f93e2b0e49cb71ec2b915c8be040fb5c774f2d742413e,793
"Mark Rippetoe, Lon Kilgore Starting Strength.pdf",23.6,unclassified,unclassified,True,"Mark Rippetoe, Lon Kilgore Starting Strength",,,35,,,415a7c0be9337dd2e0a0d7a134293c222f0aeb74b43d2c201a230264413ab7f3,323
Mathematical Methods of Classical Mechanics (V. I. Arnold).pdf,41.7,dynamical_systems,low,True,Mathematical Methods of Classical Mechanics (V. I. Arnold),,,35,,,2baa5c02bab0be8f77a4a75f5a65ef994d6be81313d04558925933a947330828,530
"Matt J. Keeling, Pejman Rohani - Modeling Infectious Diseases in Humans and Animals  -Princeton University Press (2007).pdf",23.9,mathematics,low,True,Modeling Infectious Diseases in Humans and Animals,Matt J. Keeling; Pejman Rohani,2007,35,hash_dup_292,possible_duplicate,d497541875be88990151a9d125216ae531fd77acc862be8717dad260345da81a,385
Measure Theory (Paul R. Halmos).pdf,21.9,analysis,low,True,Measure Theory (Paul R. Halmos),,,35,,,5b53ef11ea3dfa35c2cb884b2c3d8fb01316cfd578f2c0c242e34ed046d7ef40,313
Michael Spivak - Calculus.pdf,20.7,mathematics,low,True,Michael Spivak - Calculus,,,35,,,560fe5b60c3d68f79c5c4590241b9584ad08ee891346c62c02ad130d3c95b072,630
Michael_Spivak_CalculusBookZZorg.pdf,48.4,mathematics,low,True,Michael_Spivak_CalculusBookZZorg,,,35,,,e82f0501eb2433350f581c03d25ccdc909d23934d1e9cd77ca425b52b753eb24,684
