sha256,filename,file_size_mb,domain,confidence,priority_score,title,authors,year,publisher,is_book,r2_isbns,r2_ol_title,r2_ol_found,r2_classification_domain,r2_classification_confidence,r2_classification_method,r2_chars_extracted,r2_extractable,r2_has_toc,r2_content_fingerprint,reclassified_as_book,duplicate_group,r2_dedup_is_best_copy
d7865cabfb42af2e51adc5d4895d656623fa42edf3e1c7c9c6761a88f176b930,Sebastian Raschka - Build a Large Language Model (From Scratch)-Manning (2024).pdf,17.29,rag_llm,medium,65,Build a Large Language Model (From Scratch),Sebastian Raschka,2024,Manning,True,,,,rag_llm,medium,keyword_text,1142,True,False,bc155cb3e5ffa20a,,,True
915c10b947f2985d40c89e4c46ee918eae0dff1e52ca2a2e34fe412fcdc35100,"Tosio Kato-Perturbation Theory for Linear Operators, Second Edition (Classics in Mathematics)-Springer (1995).pdf",9.96,dynamical_systems,low,65,"Perturbation Theory for Linear Operators, Second Edition (Classics in Mathematics)",Tosio Kato,1995,Springer,True,,,,dynamical_systems,low,keyword_text,3135,True,False,bcada0f0169b4a4b,,,True
6e5533b27acadfb8c448f2c202ae0dd2006ea520377afe930a5a8a8cb345f5a7,"Vladimir A. Yakubovich, V. M. Starzhinskii - Linear Differential Equations With Periodic Coefficients, volume 1-John Wiley and Sons (1975).pdf",42.62,mathematics,medium,65,"Linear Differential Equations With Periodic Coefficients, volume 1",Vladimir A. Yakubovich; V. M. Starzhinskii,1975,John Wiley and Sons,True,0706514807,,,dynamical_systems,medium,claude_code,195724,True,False,9339daf5af39a055,,,True
5164d8b25501f8d91ec255672d71cb4f3355023b6a747a568f1bf8dc694b5457,"(CFA Institute Investment Series) Jerald E. Pinto, Elaine Henry, Thomas R. Robinson, John D. Stowe - Equity Asset Valuation Workbook-Wiley (2015).pdf",9.7,finance,high,65,"Jerald E. Pinto, Elaine Henry, Thomas R. Robinson, John D. Stowe - Equity Asset Valuation Workbook-Wiley",,2015,,True,9781119104612; 9781119104636; 9781119105176,,,finance,high,claude_code,12647,True,False,9c4796d876e6cbaa,,,True
8e062fb97e381ce4c2043ebd0db1b31085a54dc7bf059908907a7402a32f7f77,"(Graduate Texts in Physics) Walter Dittrich, Martin Reuter (auth.)-Classical and Quantum Dynamics_ From Classical Paths to Path Integrals-Springer International Publishing (2016).pdf",3.68,physics,medium,65,"Walter Dittrich, Martin Reuter (auth.)-Classical and Quantum Dynamics: From Classical Paths to Path Integrals-Springer International Publishing",,2016,,True,9783319216768; 9783319216775,,,physics,medium,claude_code,3217,True,False,e594eb9e44e5f14e,,,True
618b836f6698745a3d3680039f0cb5c26dfac9d37d4dd36524f59016ba2f0970,Ali H Nayfeh-The Method of Normal Forms Second Edition -Wiley-VCH 2011.pdf,2.79,dynamical_systems,medium,65,The Method of Normal Forms,Ali H. Nayfeh,2011,,True,9781848211223; 9780470457931; 9783527406838; 9780471690733; 9780471176824; 9780471310136,,,dynamical_systems,medium,claude_code,2428,True,False,e476a0772cd70f55,,,True
66f75b5c6d08915b8f90a2d99effc0c8d7638dceac76208c660e86079ed730c5,Astronomy and Astrophysics Library Dino Boccaletti Giuseppe Pucacco authTheory of Orbits Perturbative and Geometrical MethodsSpringerVerlag Berlin Heidelberg 1999.pdf,11.74,dynamical_systems,low,65,Astronomy and Astrophysics Library Dino Boccaletti Giuseppe Pucacco authTheory of Orbits Perturbative and Geometrical MethodsSpringerVerlag Berlin Heidelberg 1999,4<8=8AB@0B>@,1999,,True,9783642082221; 9783662092408,,,,,,3076,True,False,261c137ce5f5bc52,,,True
f464dfa00f0d3293818873a6dd283ae88c14e4a266b2f7d957b5d0fe01d48362,"David J. Griffiths, Darrell F. Schroeter - Introduction to Quantum Mechanics (2018).pdf",26.41,physics,medium,65,Introduction to Quantum Mechanics,David J. Griffiths; Darrell F. Schroeter,2018,,True,9781107189638; 9781107189; 9781316995433,,,physics,medium,keyword_text,3960,True,False,e52434600952eb2c,,,True
421307bedb8079f728ae0272f7c0cd59ec2db76d7853a3e4b21c27cd7f1b96f0,Jerrold E Marsden and Tudor Ratiu with the collaboration of Ralph Abraham-Manifolds Tensor Analysis and Applications 2007 version -Springer 2007.pdf,5.67,topology_geometry,low,65,Jerrold E Marsden and Tudor Ratiu with the collaboration of Ralph Abraham-Manifolds Tensor Analysis and Applications 2007 version -Springer 2007,,2007,,True,,,,topology_geometry,low,keyword_text,6433,True,True,ec3557799b562405,,,True
0687b67e27263a2226db88c3e99b14b2a8bfaf59fe0f23b11e12b71961eba0bb,Lowenstein JH-Essentials of Hamiltonian Dynamics-Cambridge University Press 2012.pdf,12.27,dynamical_systems,low,65,Lowenstein JH-Essentials of Hamiltonian Dynamics-Cambridge University Press 2012,,2012,,True,9781107005204,,,physics,low,keyword_text,2863,True,False,34cbe7b76cce125d,,,True
353f60f007a4f0364e7aef67d939c9955ba59e596618f6c4df337cae393f5799,MIT Press Jeffrey M Wooldridge - Solutions Manual and Supplementary Materials for Econometric Analysis of Cross Section and Panel Data-The MIT Press 2010.pdf,5.49,econometrics,medium,65,MIT Press Jeffrey M Wooldridge - Solutions Manual and Supplementary Materials for Econometric Analysis of Cross Section and Panel Data-The MIT Press 2010,,2010,,True,9780262232586,,,econometrics,medium,keyword_text,1154,True,False,a7fea22c92420943,,,True
9063ab5eb8216ff41118512e9c6a374feddc2b215e2162635942eaa0433e9a58,"Mark Rippetoe Starting Strength, 3rd edition.pdf",15.12,fitness,medium,65,Starting Strength,Rippetoe; Mark,,,True,,,,fitness,medium,claude_code,5286,True,True,08f9c1fbeafed1f4,,,True
56051d984db150becd78218151585c965b9cb56eefb55b26cbc4df4b44239a1d,Martin Durrell Hammers German Grammar and Usage 4th edition.pdf,50.88,unclassified,unclassified,65,Martin Durrell Hammers German Grammar and Usage 4th edition,,,,True,,,,,,,22512,True,True,55f26a26f907a6d8,,fuzzy_dup_435,True
524237d558383dede26d6ae2744a2a44985cf4ae9e913966cb00564581d9f57e,Michel Henon - Generating Families in the Restricted Three-Body Problem (Lecture Notes in Physics Monographs)-Springer (1997).pdf,15.53,physics,medium,65,Generating Families in the Restricted Three-Body Problem (Lecture Notes in Physics Monographs),Michel Henon,1997,Springer,True,,,,physics,medium,claude_code,5850,True,True,9d97bc9125a63f9f,,,True
bbb1ae2d11e82a17fa6c0f81daca0e2790bb9410b562ae8e1a3c5c76df821c06,Modern Birkhäuser Classics Helmut Hofer Eduard Zehnder auth-Symplectic Invariants and Hamiltonian Dynamics-Birkhäuser Basel 2011.pdf,3.37,dynamical_systems,high,65,Symplectic Invariants and Hamiltonian Dynamics (Modern Birkhäuser Classics),Helmut Hofer; Eduard Zehnder,2011,,True,9783034801034; 9783034801041; 9783764350666,,,,,,1780,True,False,73c907089902f6e3,,,True
f7e4be6cd84506e2ae25fb3e8c33948d112a0715cdee527a77d9ed8348707f95,NATO Science for Peace and Security Series _ NATO Science fo Walter Craig-Hamiltonian Dynamical Systems and Applications -Springer Netherlands 2008.pdf,5.68,dynamical_systems,medium,65,NATO Science for Peace and Security Series : NATO Science fo Walter Craig-Hamiltonian Dynamical Systems and Applications -Springer Netherlands 2008,,2008,,True,9781402069635; 9781402069628,,,,,,3088,True,False,4c92d8f805009ecb,,,True
7522dd83783fe75d4582b487860443080bead93cf775637f7cf800f1b9252678,Official Google Cloud Certified Professional Machine -- Mona Mona Ramamurthy Pratap -- 1 PS 2023 -- Wiley Sons Limited John Wiley -- 9781119944461 -- 44960039c28ec9beabf08f4c41c7baa6 -- Annas Archive.pdf,10.15,machine_learning,medium,65,Official Google Cloud Certified Professional Machine Learning Engineer Study Guide,Mona; Mona; Ramamurthy; Pratap,2023,,True,9781119944461; 9781119981848; 9781119981565,,,machine_learning,medium,claude_code,3454,True,False,acb37854c462a0f5,,,True
7738cc6c934791e98cb128e355177dc1970e986e1045825f5a78e09faf8810a7,Paul Wellin - Programming with Mathematica®_ An Introduction-Cambridge University Press (2013).pdf,11.27,unclassified,unclassified,65,Programming with Mathematica®: An Introduction,Paul Wellin,2013,Cambridge University Press,True,9781107009462,,,,,,1429,True,False,4909624e682a7bfa,,,True
4b3be75a8ce17278b1f6d7e4e5b780ddf8a4108eab50d01e2e69a3b4d5a36249,Pure and applied mathematics J David Logan-An introduction to nonlinear partial differential equations-Wiley-Interscience 2008.pdf,15.43,mathematics,high,65,ACDSee ProPrint Job,QuangNguyen,2008,,True,9780470225950,,,,,,3327,True,False,1febfb9d371d1e24,,,True
dc4129ecad5b2383d179bc49736a5126255098b408ebcfed23b0d58fdef83175,"Stefan Thurner, Rudolf Hanel, Peter Klimek - Introduction to the Theory of Complex Systems-Oxford University Press, USA (2018).pdf",15.88,dynamical_systems,medium,65,"Introduction to the Theory of Complex Systems-Oxford University Press, USA",Stefan Thurner; Rudolf Hanel; Peter Klimek,2018,,True,9780198821939,,,dynamical_systems,medium,claude_code,8611,True,False,0593aee455d2ec0f,,,True
7976fab514fd6ff94720d953928be996302b17d26b2621cc61508b285e5d990d,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein - Introduction to Algorithms 3rd Edition (2009).pdf",5.47,unclassified,unclassified,65,Introduction to Algorithms 3rd Edition,Thomas H. Cormen; Charles E. Leiserson; Ronald L. Rivest; Clifford Stein,2009,,True,9780262033848; 9780262533058,,,,,,1221,True,False,a14214381791547b,,,True
b579a9b5797e57f1d3a6cf27a204dd448649ffe3f52db98054f496f71dcab51c,Thomas_Calculus_Single_Multi_12th_txtbk.pdf,341.1,mathematics,low,65,Thomas_Calculus_Single_Multi_12th_txtbk,dynstab2/ThePirateBay,,,True,9780321587992,,,mathematics,low,keyword_text,5739,True,False,3ec468a2f05479dc,,,True
6001c3f476de239e0c33b8010294eada2c24006367406f2a71f36bd5a8bf9afc,"Vladimir Khorikov - Unit Testing Principles, Practices, and Patterns-Manning Publications (2019).pdf",2.94,unclassified,unclassified,65,"Unit Testing Principles, Practices, and Patterns",Vladimir Khorikov,2019,Manning Publications,True,9781617296277; 9781617296,,,,,,2641,True,False,ea889e163420993d,,,True
e7ea4691a50441f7a7a6924f76793bfb79366b91727c3a75f0482e0e6aab4993,2 Aurélien Géron - Hands-On Machine Learning with Scikit-Learn Keras and Tensorflow_ Concepts Tools and Techniques to Build Intelligent Systems-OReilly Media 2019.pdf,31.52,machine_learning,low,65,Hands-On Machine Learning with Scikit-Learn and TensorFlow,,2019,,True,9781492032649,,,machine_learning,low,keyword_text,4880,True,True,a2e4c66b9f7e5094,,,True
fe3536d4e22eee8ff2f61c29f349e80581dc04c5221cad58a08f09e3fbdb38ba,"Anindya S. Chakrabarti, Lukáš Pichl, Taisei Kaizoji - Network Theory and Agent-Based Modeling in Economics and Finance-Springer Singapore (2019).pdf",14.59,mathematics,low,65,"Anindya S. Chakrabarti, Lukáš Pichl, Taisei Kaizoji - Network Theory and Agent-Based Modeling in Economics and Finance-Springer Singapore",,2019,,True,9789811383182; 9789811383199,,,,,,3518,True,True,364b3102a1eeb40c,,,True
9134fc31089a130f12c098fc1ef5b7b22c3134da45d1339fdc263d347a488137,P L Sachdev-Nonlinear diffusive waves-Cambridge University Press 1987.pdf,7.37,unclassified,unclassified,65,P L Sachdev-Nonlinear diffusive waves-Cambridge University Press 1987,John,1987,,True,9780521265935; 9780521093033,,,,,,14470,True,True,abd2369c324e11e0,,,True
